"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-27","0.00","0.0","81","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-28","0.00","0.0","82","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-29","0.00","0.0","84","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-30","0.00","0.0","86","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-01","0.82","0.0","82","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-02","0.01","0.0","82","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-03","0.33","0.0","88","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-04","0.03","0.0","84","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-05","1.13","0.0","73","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-06","0.07","0.0","81","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-07","0.00","0.0","84","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-08","0.04","0.0","91","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-09","0.00","0.0","86","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-10","0.00","0.0","88","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-11","0.00","0.0","90","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-12","0.00","0.0","90","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-13","0.00","0.0","91","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-14","0.00","0.0","93","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-15","0.44","0.0","84","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-16","0.02","0.0","88","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-17","0.00","0.0","91","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-18","0.00","0.0","91","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-19","0.00","0.0","91","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-20","0.00","0.0","93","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-21","0.00","0.0","95","72"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-22","0.00","0.0","95","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-23","0.00","0.0","97","75"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-24","0.00","0.0","93","72"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-25","0.00","0.0","93","70"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-26","0.00","0.0","95","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-27","0.00","0.0","93","75"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-28","0.23","0.0","82","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-29","0.00","0.0","90","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-30","0.00","0.0","86","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-07-31","0.00","0.0","84","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-01","0.08","0.0","79","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-02","0.00","0.0","86","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-03","0.00","0.0","86","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-04","0.91","0.0","90","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-05","0.00","0.0","75","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-06","0.34","0.0","75","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-07","0.77","0.0","78","67"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-08","0.00","0.0","81","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-09","0.00","0.0","82","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-10","0.00","0.0","84","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-11","0.16","0.0","82","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-12","0.18","0.0","82","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-13","0.04","0.0","79","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-14","0.23","0.0","70","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-15","0.02","0.0","77","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-16","0.18","0.0","86","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-17","0.75","0.0","86","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-18","0.05","0.0","82","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-19","0.03","0.0","86","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-20","0.00","0.0","91","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-21","0.00","0.0","91","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-22","0.00","0.0","90","72"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-23","0.23","0.0","82","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-24","0.00","0.0","81","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-08-25","0.00","0.0","81","55"
