OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BAZ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
05/13/2017,0,0,21,0,21,0,0,0,0,0,0,4,112,0,116,0,0,8,0,8,218,0,218,355,363,
05/14/2017,0,0,7,0,7,0,0,0,0,0,0,5,39,0,44,0,0,6,0,6,6,0,6,57,63,
05/15/2017,0,2,22,6,30,0,0,0,0,0,0,3,35,3,41,0,0,6,30,36,64,22,86,157,193,
05/16/2017,0,0,39,12,51,0,0,0,0,0,0,4,26,0,30,0,2,2,30,34,48,20,68,149,183,
05/17/2017,0,0,17,2,19,0,0,0,0,0,0,2,49,0,51,0,0,4,0,4,54,14,68,138,142,
05/18/2017,0,0,24,10,34,0,0,0,0,0,0,1,19,0,20,0,0,4,42,46,24,0,24,78,124,
05/19/2017,0,0,31,0,31,0,0,2,0,2,0,0,43,0,43,0,2,6,0,8,48,0,48,122,132,
05/20/2017,0,1,11,0,12,0,0,0,0,0,0,1,30,0,31,0,0,2,0,2,62,0,62,105,107,
05/21/2017,0,0,8,0,8,0,0,2,0,2,0,0,11,0,11,0,0,8,0,8,30,0,30,49,59,
05/22/2017,0,3,25,14,42,0,0,0,0,0,0,2,3,0,5,0,0,4,0,4,4,0,4,51,55,
05/23/2017,0,0,15,8,23,0,0,0,0,0,0,2,32,0,34,0,0,6,0,6,58,12,70,127,133,
05/24/2017,0,2,27,10,39,0,0,0,0,0,0,5,65,0,70,0,0,12,4,16,76,26,102,211,227,
05/25/2017,0,0,11,20,31,0,0,0,0,0,0,0,55,2,57,0,0,4,50,54,114,8,122,210,264,
05/26/2017,0,2,34,0,36,0,0,0,0,0,0,4,37,0,41,0,0,8,0,8,108,0,108,185,193,
05/27/2017,0,0,13,0,13,0,0,0,0,0,0,3,12,0,15,0,0,0,0,0,30,0,30,58,58,
05/28/2017,0,2,3,0,5,0,0,0,0,0,0,5,29,0,34,0,0,8,0,8,114,0,114,153,161,
05/29/2017,0,0,16,0,16,0,0,0,0,0,0,2,20,0,22,0,2,4,0,6,62,0,62,100,106,
05/30/2017,0,0,15,8,23,0,0,0,0,0,0,0,53,0,53,0,0,2,22,24,102,2,104,180,204,
05/31/2017,0,0,19,20,39,0,0,0,0,0,0,1,33,0,34,0,0,2,0,2,48,0,48,121,123,
06-01-2017,0,0,24,18,42,0,0,0,0,0,0,2,28,0,30,0,4,4,28,36,50,4,54,126,162,
06-02-2017,0,1,21,4,26,0,0,0,0,0,0,2,43,0,45,0,0,4,0,4,66,0,66,137,141,
06-03-2017,0,0,24,0,24,0,0,0,0,0,0,4,27,0,31,0,0,4,0,4,90,0,90,145,149,
06-04-2017,0,0,2,0,2,0,0,0,0,0,0,1,6,0,7,0,0,2,0,2,2,0,2,11,13,
06-05-2017,0,0,9,8,17,0,0,0,0,0,0,0,45,0,45,0,0,2,16,18,46,4,50,112,130,
06-06-2017,0,0,20,12,32,0,0,0,0,0,0,2,70,0,72,0,0,8,2,10,106,6,112,216,226,
06-07-2017,0,0,20,16,36,0,0,0,0,0,0,2,95,1,98,0,0,10,0,10,170,8,178,312,322,
06-08-2017,0,0,15,8,23,0,0,0,0,0,0,2,96,1,99,0,0,6,24,30,156,0,156,278,308,
06-09-2017,0,0,36,28,64,0,0,0,0,0,0,2,52,0,54,0,0,10,0,10,92,4,96,214,224,
06-10-2017,0,0,34,0,34,0,0,0,0,0,0,3,62,0,65,0,0,10,0,10,47,0,47,146,156,
06-11-2017,0,0,21,0,21,0,0,0,0,0,0,2,25,0,27,0,0,2,0,2,24,0,24,72,74,
06-12-2017,0,0,18,6,24,0,0,0,0,0,0,0,62,0,62,0,2,10,32,44,148,4,152,238,282,
06/13/2017,0,2,31,11,44,0,0,0,0,0,0,8,59,3,70,0,0,2,26,28,70,12,82,196,224,
06/14/2017,0,4,25,18,47,0,0,0,0,0,0,6,40,0,46,0,0,2,0,2,38,2,40,133,135,
06/15/2017,0,0,37,6,43,0,0,0,0,0,0,2,61,0,63,0,0,4,12,16,160,0,160,266,282,
06/16/2017,0,0,35,22,57,0,0,0,0,0,0,2,51,0,53,0,0,12,0,12,118,6,124,234,246,
06/17/2017,0,0,9,2,11,0,0,0,0,0,0,3,60,0,63,0,2,6,2,10,62,0,62,136,146,
06/18/2017,0,4,12,0,16,0,0,0,0,0,0,2,42,0,44,0,0,2,0,2,34,0,34,94,96,
06/19/2017,0,0,7,20,27,0,0,0,0,0,0,3,44,2,49,0,0,4,6,10,76,20,96,172,182,
06/20/2017,0,3,11,8,22,0,0,0,0,0,0,2,48,2,52,0,0,6,0,6,62,14,76,150,156,
06/21/2017,0,0,18,10,28,0,0,0,0,0,0,2,59,2,63,0,0,12,0,12,46,10,56,147,159,
06/22/2017,0,1,35,6,42,0,0,0,0,0,0,2,61,0,63,0,0,10,2,12,80,10,90,195,207,
06/23/2017,0,2,16,10,28,0,0,0,0,0,0,2,51,2,55,0,0,0,36,36,104,10,114,197,233,
06/24/2017,0,3,7,0,10,0,0,0,0,0,0,4,13,0,17,0,0,4,0,4,12,0,12,39,43,
06/25/2017,0,2,11,0,13,0,0,0,0,0,0,0,23,0,23,0,2,6,0,8,24,0,24,60,68,
06/26/2017,0,2,18,18,38,0,0,0,0,0,0,2,19,0,21,0,2,0,12,14,44,10,54,113,127,
06/27/2017,0,0,16,20,36,0,0,0,0,0,0,1,12,0,13,0,4,8,10,22,26,6,32,81,103,
06/28/2017,0,0,20,14,34,0,0,2,0,2,0,0,53,4,57,0,0,6,10,16,66,8,74,165,183,
06/29/2017,0,0,40,28,68,0,0,0,0,0,0,2,66,4,72,0,0,8,10,18,92,4,96,236,254,
06/30/2017,0,3,20,8,31,0,0,0,0,0,0,2,42,6,50,0,2,2,12,16,102,0,102,183,199,
07-01-2017,0,0,18,0,18,0,0,0,0,0,0,4,52,0,56,0,0,6,0,6,42,0,42,116,122,
07-02-2017,0,0,9,0,9,0,0,0,0,0,0,2,16,4,22,0,2,12,0,14,18,14,32,63,77,
07-03-2017,0,2,10,0,12,0,0,0,0,0,0,1,48,0,49,0,0,4,0,4,100,0,100,161,165,
07-04-2017,0,0,9,0,9,0,0,0,0,0,0,3,30,0,33,0,2,4,0,6,16,0,16,58,64,
07-05-2017,0,0,24,22,46,0,0,0,0,0,0,1,79,0,80,0,0,4,18,22,138,10,148,274,296,
07-06-2017,0,2,16,26,44,0,0,0,0,0,0,3,47,0,50,0,0,8,22,30,132,2,134,228,258,
07-07-2017,0,0,11,0,11,0,0,0,0,0,0,0,52,0,52,0,0,6,0,6,74,0,74,137,143,
07-08-2017,0,0,14,0,14,0,0,0,0,0,0,3,68,0,71,0,0,2,0,2,130,0,130,215,217,
07-09-2017,0,0,7,0,7,0,0,0,0,0,0,3,35,0,38,0,0,0,0,0,32,0,32,77,77,
07-10-2017,0,0,14,9,23,0,0,0,0,0,0,2,55,1,58,0,0,4,22,26,100,10,110,191,217,
07-11-2017,0,0,16,14,30,0,0,0,0,0,0,2,54,2,58,0,0,10,12,22,82,14,96,184,206,
07-12-2017,0,2,26,3,31,0,0,0,0,0,0,6,49,1,56,0,0,8,10,18,92,16,108,195,213,
07/13/2017,0,0,16,20,36,0,0,0,0,0,0,0,46,0,46,0,2,4,4,10,114,0,114,196,206,
07/14/2017,0,2,13,10,25,0,0,0,0,0,0,2,70,0,72,0,4,4,0,8,154,0,154,251,259,
07/15/2017,0,0,11,1,12,0,0,0,0,0,0,0,78,3,81,0,0,4,4,8,102,0,102,195,203,
07/16/2017,0,0,7,0,7,0,0,0,0,0,0,3,55,0,58,0,0,0,0,0,98,0,98,163,163,
07/17/2017,0,2,15,10,27,0,0,0,0,0,0,3,46,0,49,0,0,2,10,12,82,0,82,158,170,
07/18/2017,0,4,17,12,33,0,0,0,0,0,0,2,54,0,56,0,0,2,2,4,132,0,132,221,225,
07/19/2017,0,1,21,4,26,0,0,0,0,0,0,1,52,0,53,0,2,12,0,14,106,0,106,185,199,
07/20/2017,0,0,13,23,36,0,0,0,0,0,0,0,69,1,70,0,2,8,16,26,106,26,132,238,264,
07/21/2017,0,0,12,6,18,0,0,0,0,0,0,2,68,2,72,0,0,12,4,16,126,2,128,218,234,
07/22/2017,0,0,10,0,10,0,0,0,0,0,0,2,63,0,65,0,4,2,2,8,48,0,48,123,131,
07/23/2017,0,3,13,2,18,0,0,0,0,0,0,0,30,0,30,0,0,2,0,2,48,22,70,118,120,
07/24/2017,0,4,23,1,28,0,0,0,0,0,0,4,43,3,50,0,0,4,32,36,70,4,74,152,188,
07/25/2017,0,0,23,0,23,0,0,0,0,0,0,3,67,0,70,0,0,4,22,26,82,0,82,175,201,
07/26/2017,0,0,19,14,33,0,0,0,0,0,0,5,54,0,59,0,2,6,10,18,88,0,88,180,198,
07/27/2017,0,1,13,16,30,0,0,0,0,0,0,0,60,0,60,0,2,2,0,4,132,0,132,222,226,
07/28/2017,0,1,15,14,30,0,0,0,0,0,0,4,60,4,68,0,0,10,0,10,114,10,124,222,232,
07/29/2017,0,0,11,0,11,0,0,0,0,0,0,0,55,0,55,0,0,10,0,10,32,0,32,98,108,
