OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
06/11/2018,70,44,27,0,141,0,1,2,0,3,0,0,10,0,10,0,0,1,1,2,0,0,0,151,156
06/12/2018,67,43,29,5,144,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,147,147
06/13/2018,65,38,23,16,142,1,4,4,0,9,0,0,5,2,7,0,1,3,2,6,0,0,0,149,164
06/14/2018,57,42,12,29,140,0,0,2,0,2,0,6,5,8,19,0,0,10,0,10,0,0,0,159,171
06/15/2018,49,36,26,29,140,0,1,1,0,2,0,0,21,3,24,0,0,5,2,7,0,0,0,164,173
06/16/2018,50,26,21,0,97,0,0,0,0,0,0,0,2,0,2,0,0,8,0,8,6,0,6,105,113
06/17/2018,53,31,11,4,99,0,0,5,0,5,0,1,11,2,14,0,0,10,3,13,0,0,0,113,131
06/18/2018,45,32,13,19,109,1,0,4,0,5,0,1,4,1,6,0,0,5,0,5,0,2,2,117,127
06/19/2018,51,25,35,14,125,0,0,2,0,2,0,3,15,5,23,0,1,3,4,8,25,2,27,175,185
06/20/2018,57,36,19,28,140,0,1,4,1,6,0,4,9,9,22,0,0,4,1,5,0,10,10,172,183
06/21/2018,70,33,34,22,159,0,1,7,0,8,0,2,8,11,21,0,0,6,1,7,0,6,6,186,201
06/22/2018,69,36,29,12,146,0,1,3,1,5,0,2,5,10,17,0,1,2,0,3,0,0,0,163,171
06/23/2018,50,25,11,11,97,0,2,4,0,6,0,0,1,6,7,0,0,5,0,5,0,0,0,104,115
06/24/2018,62,35,18,1,116,1,2,2,0,5,0,1,7,0,8,0,0,3,0,3,0,0,0,124,132
06/25/2018,71,46,22,11,150,2,0,2,0,4,0,0,10,6,16,0,0,1,2,3,1,0,1,167,174
06/26/2018,71,33,26,18,148,0,2,2,0,4,0,2,3,7,12,0,0,1,0,1,0,0,0,160,165
06/27/2018,74,50,29,23,176,1,2,2,0,5,0,5,1,8,14,0,0,0,0,0,0,0,0,190,195
06/28/2018,75,62,28,25,190,1,1,6,0,8,0,4,4,9,17,0,0,2,1,3,14,12,26,233,244
06/29/2018,80,49,17,14,160,0,0,2,1,3,0,1,9,1,11,0,2,3,3,8,0,0,0,171,182
06/30/2018,55,32,10,4,101,0,0,0,0,0,0,2,3,2,7,0,0,5,0,5,0,0,0,108,113
07/01/2018,55,31,5,0,91,0,1,2,0,3,0,4,6,0,10,0,0,2,2,4,0,0,0,101,108
07/02/2018,58,27,9,2,96,1,0,2,0,3,0,0,7,0,7,0,0,3,2,5,4,0,4,107,115
07/03/2018,59,26,22,0,107,0,0,0,0,0,0,0,22,0,22,0,0,3,0,3,6,0,6,135,138
07/04/2018,46,24,9,0,79,0,0,0,0,0,0,1,4,0,5,0,0,1,0,1,6,0,6,90,91
07/05/2018,56,36,27,10,129,0,0,0,1,1,0,0,6,2,8,0,0,3,0,3,0,0,0,137,141
07/06/2018,60,30,8,1,99,0,1,2,2,5,0,1,6,1,8,0,1,1,1,3,0,0,0,107,115
07/07/2018,49,23,5,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,77,78
07/08/2018,68,41,17,0,126,0,0,0,0,0,0,3,7,0,10,0,0,2,0,2,0,0,0,136,138
07/09/2018,70,38,22,24,154,1,0,1,0,2,0,0,14,2,16,0,0,7,0,7,0,0,0,170,179
07/10/2018,66,38,37,8,149,0,0,1,0,1,0,3,17,0,20,0,1,7,0,8,18,12,30,199,208
07/11/2018,69,39,30,0,138,0,1,1,0,2,0,2,8,2,12,0,0,5,0,5,0,0,0,150,157
07/12/2018,65,45,30,8,148,0,1,2,0,3,0,0,5,0,5,0,0,1,0,1,0,0,0,153,157
07/13/2018,70,42,29,22,163,0,0,1,0,1,0,0,2,0,2,0,0,3,0,3,0,0,0,165,169
